,1,years,Monona,days
0,1,1855,118,118
1,1,1856,151,151
2,1,1857,119,121
3,1,1858,94,96
4,1,1859,111,110
5,1,1860,129,117
6,1,1861,133,132
7,1,1862,119,104
8,1,1863,131,125
9,1,1864,117,118
10,1,1865,125,125
11,1,1866,128,123
12,1,1867,108,110
13,1,1868,126,127
14,1,1869,138,131
15,1,1870,100,99
16,1,1871,142,126
17,1,1872,141,144
18,1,1873,136,136
19,1,1874,123,126
20,1,1875,91,91
21,1,1876,132,130
22,1,1877,62,62
23,1,1878,115,112
24,1,1879,93,99
25,1,1880,160,161
26,1,1881,77,78
27,1,1882,127,124
28,1,1883,120,119
29,1,1884,121,124
30,1,1885,131,128
31,1,1886,131,131
32,1,1887,137,113
33,1,1888,87,88
34,1,1889,74,75
35,1,1890,113,111
36,1,1891,96,97
37,1,1892,117,112
38,1,1893,99,101
39,1,1894,104,101
40,1,1895,119,91
41,1,1896,123,110
42,1,1897,101,100
43,1,1898,129,130
44,1,1899,112,111
45,1,1900,118,107
46,1,1901,103,105
47,1,1902,85,89
48,1,1903,140,126
49,1,1904,111,108
50,1,1905,115,97
51,1,1906,106,94
52,1,1907,106,83
53,1,1908,118,106
54,1,1909,96,98
55,1,1910,103,101
56,1,1911,113,108
57,1,1912,104,99
58,1,1913,83,88
59,1,1914,115,115
60,1,1915,111,102
61,1,1916,116,116
62,1,1917,116,115
63,1,1918,83,82
64,1,1919,116,110
65,1,1920,85,81
66,1,1921,96,96
67,1,1922,127,125
68,1,1923,103,104
69,1,1924,103,105
70,1,1925,126,124
71,1,1926,102,103
72,1,1927,108,106
73,1,1928,96,96
74,1,1929,104,107
75,1,1930,98,98
76,1,1931,60,65
77,1,1932,107,115
78,1,1933,103,91
79,1,1934,98,94
80,1,1935,107,101
81,1,1936,123,121
82,1,1937,111,105
83,1,1938,102,97
84,1,1939,102,105
85,1,1940,127,96
86,1,1941,85,82
87,1,1942,114,116
88,1,1943,101,114
89,1,1944,89,92
90,1,1945,99,98
91,1,1946,108,101
92,1,1947,108,104
93,1,1948,92,96
94,1,1949,113,109
95,1,1950,118,122
96,1,1951,112,114
97,1,1952,93,81
98,1,1953,72,85
99,1,1954,83,92
100,1,1955,109,114
101,1,1956,92,111
102,1,1957,109,95
103,1,1958,125,126
104,1,1959,101,105
105,1,1960,98,108
106,1,1961,113,117
107,1,1962,112,112
108,1,1963,92,113
109,1,1964,114,120
110,1,1965,65,65
111,1,1966,88,98
112,1,1967,87,91
113,1,1968,101,108
114,1,1969,92,113
115,1,1970,93,110
